order_id,customer_id,product_id,order_date,quantity,revenue,acquisition_channel
O9000,C5043,P1033,2026-07-22,1,198.15,direct
O9001,C5300,P1127,2026-05-15,1,142.5,direct
O9002,C5227,P1003,2026-07-20,1,72.95,direct
O9003,C5183,P1101,2026-07-11,1,78.31,direct
O9004,C5106,P1074,2026-07-05,1,223.43,paid_social
O9005,C5083,P1098,2026-01-02,1,235.47,referral
O9006,C5249,P1071,2026-04-06,2,135.56,referral
O9007,C5020,P1002,2026-07-08,1,179.75,paid_search
O9008,C5195,P1141,2026-03-22,3,266.67,organic_search
O9009,C5177,P1033,2026-05-21,1,198.15,direct
O9010,C5006,P1044,2025-12-04,1,139.38,organic_search
O9011,C5069,P1060,2026-05-30,1,342.5,referral
O9012,C5126,P1082,2026-04-07,1,322.71,paid_social
O9013,C5159,P1122,2025-12-19,1,202.99,organic_search
O9014,C5247,P1101,2026-06-08,1,78.31,organic_search
O9015,C5202,P1015,2026-04-21,2,269.88,organic_search
O9016,C5147,P1065,2026-02-05,1,15.22,organic_search
O9017,C5142,P1144,2026-05-19,1,93.89,direct
O9018,C5198,P1118,2026-07-24,1,321.26,organic_search
O9019,C5153,P1123,2026-04-05,2,231.62,paid_search
O9020,C5141,P1143,2026-01-06,1,274.31,organic_search
O9021,C5312,P1101,2026-06-29,1,78.31,paid_search
O9022,C5164,P1065,2025-12-07,1,15.22,organic_search
O9023,C5313,P1012,2026-05-23,3,465.69,organic_search
O9024,C5020,P1110,2026-06-15,1,135.17,paid_search
O9025,C5081,P1033,2026-05-08,1,198.15,referral
O9026,C5068,P1038,2026-05-03,1,163.59,paid_social
O9027,C5130,P1135,2026-07-11,2,588.32,referral
O9028,C5086,P1119,2026-07-16,1,30.85,referral
O9029,C5217,P1125,2026-07-13,1,334.21,paid_social
O9030,C5304,P1054,2026-01-31,1,53.86,referral
O9031,C5160,P1026,2026-01-29,1,121.75,paid_search
O9032,C5177,P1117,2026-07-12,1,107.2,referral
O9033,C5116,P1052,2026-07-16,1,339.93,paid_search
O9034,C5195,P1038,2025-12-18,1,163.59,direct
O9035,C5085,P1064,2026-02-27,1,64.91,direct
O9036,C5288,P1144,2025-12-24,1,93.89,paid_search
O9037,C5080,P1012,2026-06-09,1,155.23,organic_search
O9038,C5151,P1020,2026-05-28,1,58.64,direct
O9039,C5060,P1146,2026-03-17,1,51.96,paid_search
O9040,C5060,P1052,2026-01-22,2,679.86,organic_search
O9041,C5027,P1018,2026-06-06,1,192.27,referral
O9042,C5042,P1056,2026-07-09,2,235.26,direct
O9043,C5168,P1024,2026-06-27,1,27.63,referral
O9044,C5085,P1030,2026-07-01,1,77.57,referral
O9045,C5176,P1080,2026-05-29,1,141.68,paid_social
O9046,C5016,P1022,2026-07-01,1,115.73,paid_search
O9047,C5097,P1031,2026-01-27,1,90.09,direct
O9048,C5197,P1073,2026-07-31,1,173.17,paid_social
O9049,C5097,P1009,2025-08-25,2,357.6,organic_search
O9050,C5064,P1053,2026-06-01,2,613.56,referral
O9051,C5004,P1051,2026-05-21,1,158.81,paid_search
O9052,C5001,P1147,2026-03-19,1,21.13,organic_search
O9053,C5021,P1113,2026-05-04,1,92.13,paid_social
O9054,C5111,P1013,2026-03-25,1,134.96,referral
O9055,C5056,P1109,2026-04-12,1,246.1,paid_search
O9056,C5065,P1052,2025-11-04,1,339.93,paid_social
O9057,C5097,P1078,2026-06-12,1,287.28,paid_search
O9058,C5143,P1021,2026-05-12,1,115.01,organic_search
O9059,C5124,P1029,2026-03-01,1,197.29,paid_search
O9060,C5166,P1003,2026-04-03,1,72.95,direct
O9061,C5085,P1058,2026-06-12,1,260.49,paid_search
O9062,C5075,P1007,2026-07-12,1,136.0,direct
O9063,C5293,P1011,2025-09-30,2,451.68,paid_search
O9064,C5058,P1118,2026-04-12,1,321.26,organic_search
O9065,C5137,P1033,2026-07-29,1,198.15,organic_search
O9066,C5098,P1081,2026-06-22,1,86.22,direct
O9067,C5191,P1097,2026-06-06,2,418.1,organic_search
O9068,C5242,P1126,2026-05-21,1,93.83,direct
O9069,C5318,P1074,2026-07-05,1,223.43,organic_search
O9070,C5048,P1104,2026-05-29,1,320.68,organic_search
O9071,C5031,P1048,2025-09-27,1,29.48,organic_search
O9072,C5276,P1078,2026-05-05,1,287.28,direct
O9073,C5019,P1092,2026-07-24,1,204.84,email
O9074,C5153,P1017,2026-07-15,1,17.75,direct
O9075,C5067,P1095,2026-06-13,2,66.34,direct
O9076,C5213,P1037,2026-05-29,1,184.22,direct
O9077,C5142,P1086,2026-04-14,1,139.53,organic_search
O9078,C5231,P1087,2026-05-23,1,89.51,direct
O9079,C5212,P1049,2026-07-13,1,79.63,email
O9080,C5078,P1007,2026-06-11,1,136.0,paid_search
O9081,C5213,P1133,2026-05-24,2,570.64,paid_search
O9082,C5115,P1068,2026-03-15,3,438.87,paid_search
O9083,C5091,P1120,2026-06-08,1,173.57,direct
O9084,C5269,P1063,2025-12-10,1,240.47,referral
O9085,C5167,P1138,2026-05-12,2,289.46,referral
O9086,C5057,P1120,2026-04-26,1,173.57,referral
O9087,C5283,P1064,2026-03-03,1,64.91,paid_search
O9088,C5025,P1106,2026-04-25,2,442.28,organic_search
O9089,C5065,P1146,2026-02-24,1,51.96,paid_social
O9090,C5247,P1136,2026-06-07,1,33.34,direct
O9091,C5253,P1099,2026-04-22,1,194.7,paid_search
O9092,C5043,P1081,2026-05-21,2,172.44,organic_search
O9093,C5096,P1142,2026-02-22,1,16.93,organic_search
O9094,C5041,P1050,2025-12-31,1,303.1,paid_search
O9095,C5226,P1140,2026-06-16,2,438.18,paid_search
O9096,C5261,P1082,2026-07-22,1,322.71,organic_search
O9097,C5166,P1111,2026-05-07,1,127.7,direct
O9098,C5278,P1055,2026-02-13,1,217.0,organic_search
O9099,C5088,P1144,2026-07-15,1,93.89,organic_search
O9100,C5177,P1059,2026-05-08,1,210.08,organic_search
O9101,C5196,P1119,2026-07-04,1,30.85,referral
O9102,C5306,P1137,2026-04-03,1,218.22,email
O9103,C5266,P1022,2026-05-21,1,115.73,paid_search
O9104,C5267,P1148,2026-07-06,3,464.37,organic_search
O9105,C5073,P1012,2026-05-09,2,310.46,organic_search
O9106,C5007,P1100,2026-01-18,1,176.04,organic_search
O9107,C5296,P1023,2026-07-06,1,206.04,direct
O9108,C5163,P1107,2026-03-16,1,164.01,paid_search
O9109,C5084,P1010,2026-07-27,1,211.21,organic_search
